R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_landed,B_SIG_STR_landed,R_SIG_STR_pct,B_SIG_STR_pct,R_total_STR_landed,B_total_STR_landed,R_total_STR_pct,B_total_STR_pct,R_TD_landed,B_TD_landed,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL_time_seconds,B_CTRL_time_seconds,R_HEAD_STR_landed,B_HEAD_STR_landed,R_HEAD_STR_pct,B_HEAD_STR_pct,R_BODY_STR_landed,B_BODY_STR_landed,R_BODY_STR_pct,B_BODY_STR_pct,R_LEG_STR_landed,B_LEG_STR_landed,R_LEG_STR_pct,B_LEG_STR_pct,R_DISTANCE_STR_landed,B_DISTANCE_STR_landed,R_DISTANCE_STR_pct,B_DISTANCE_STR_pct,R_CLINCH_STR_landed,B_CLINCH_STR_landed,R_CLINCH_STR_pct,B_CLINCH_STR_pct,R_GND_STR_landed,B_GND_STR_landed,R_GND_STR_pct,B_GND_STR_pct,winner,win_type,finish_type,decision_type,last_round,last_round_time,format,date,title_bout,weight_class
Jonathan Micallef,Oban Elliott,0,0,19,40,32.0,48.0,30,47,42.86,52.81,1,0,100.0,0.0,1,0,0,0,95,71,13,34,26.53,45.95,5,1,55.56,33.33,1,5,100.0,100.0,16,35,30.19,47.3,3,5,50.0,71.43,0,0,,0.0,red,finish,SUB,,2,3:31,3,2026-01-31,False,Welterweight
Kaan Ofli,Yizha,0,1,48,68,44.0,54.0,53,75,46.49,56.39,0,3,0.0,100.0,0,0,1,0,177,75,22,44,28.21,47.31,19,17,86.36,70.83,7,7,100.0,100.0,38,58,41.76,53.21,7,5,63.64,71.43,3,5,60.0,62.5,red,decision,,majority,3,5:00,3,2026-01-31,False,Featherweight
Sangwook Kim,Dom Mar Fan,0,0,68,99,50.0,57.0,92,135,57.5,63.98,1,1,10.0,25.0,0,0,0,1,330,187,37,79,39.36,55.63,29,18,76.32,62.07,2,2,100.0,100.0,50,63,46.3,48.84,18,29,69.23,80.56,0,7,,87.5,blue,decision,,unanimous,3,5:00,3,2026-01-31,False,Lightweight
Keiichiro Nakamura,Sebastian Szalay,1,0,45,79,37.0,38.0,46,80,38.33,39.02,0,1,,100.0,0,0,0,0,4,0,21,47,24.42,31.33,11,24,61.11,52.17,13,8,86.67,100.0,41,78,36.61,38.61,1,1,33.33,100.0,3,0,75.0,0.0,red,finish,KO/TKO,,3,3:48,3,2026-01-31,False,Featherweight
Sulangrangbo,Lawrence Lui,0,0,56,52,44.0,34.0,62,82,47.33,45.3,0,7,,46.0,0,0,0,0,14,299,53,41,45.69,31.78,3,6,37.5,37.5,0,5,0.0,100.0,52,39,42.98,29.55,4,6,100.0,54.55,0,7,,100.0,blue,decision,,split,3,5:00,3,2026-01-31,False,Bantamweight
Justin Gaethje,Paddy Pimblett,2,0,144,156,56.0,50.0,200,170,63.9,52.15,3,0,100.0,0.0,0,0,0,0,355,48,120,83,54.05,37.56,15,48,71.43,76.19,9,25,81.82,92.59,102,140,51.52,49.3,20,16,74.07,59.26,22,0,75.86,,red,decision,,unanimous,5,5:00,5,2026-01-24,True,Lightweight
Sean O'Malley,Song Yadong,0,0,48,36,52.0,38.0,67,69,60.36,53.08,0,3,,42.0,0,0,0,0,0,126,23,15,43.4,27.27,16,2,57.14,33.33,9,19,81.82,57.58,48,36,52.17,38.3,0,0,,,0,0,,,red,decision,,unanimous,3,5:00,3,2026-01-24,False,Bantamweight
Waldo Cortes Acosta,Derrick Lewis,1,0,44,8,70.0,18.0,46,8,71.88,18.6,1,0,100.0,,0,0,0,0,28,0,35,6,66.04,16.22,5,2,100.0,40.0,4,0,100.0,0.0,27,8,60.0,18.6,1,0,100.0,,16,0,100.0,,red,finish,KO/TKO,,2,3:14,3,2026-01-24,False,Heavyweight
Natalia Silva,Rose Namajunas,0,0,51,26,38.0,27.0,63,46,42.86,38.66,1,1,50.0,20.0,0,0,0,0,84,129,25,11,26.32,17.19,8,3,57.14,23.08,18,12,75.0,70.59,50,26,37.88,28.26,1,0,100.0,0.0,0,0,,,red,decision,,unanimous,3,5:00,3,2026-01-24,False,Women's Flyweight
Arnold Allen,Jean Silva,0,0,56,74,48.0,54.0,60,78,49.59,55.32,0,4,,66.0,0,0,0,0,54,32,37,43,43.02,41.75,11,22,50.0,95.65,8,9,100.0,90.0,53,68,46.9,53.54,3,6,100.0,66.67,0,0,,,blue,decision,,unanimous,3,5:00,3,2026-01-24,False,Featherweight
